Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
1999-01-22,0.0376117080450058,0.04477531601883194,0.03558146850161037,0.040118786537553526,2714688000
1999-01-25,0.04155206307768822,0.042028902060171895,0.037611710674091144,0.04059654725381971,510480000
1999-01-26,0.03832788020372391,0.04286519762474585,0.037730910960754434,0.0420288934263442,343200000
1999-01-27,0.03820866346359253,0.039402598367482236,0.036297635890155173,0.03844708287271684,244368000
1999-01-28,0.03808854520320892,0.0384470916195532,0.03785012573984342,0.0382086721561877,227520000
1999-01-29,0.036297641694545746,0.038208669573577395,0.036297641694545746,0.03808854262871827,244032000
1999-02-01,0.03701472654938698,0.037253145945562435,0.03629763391878552,0.03629763391878552,154704000
1999-02-02,0.03414911776781082,0.03725316625582631,0.0330743937489647,0.03629765370810812,264096000
1999-02-03,0.03486528992652893,0.035343047835133624,0.03343201961680943,0.03367135803583386,75120000
1999-02-04,0.03677540645003319,0.03773091886160421,0.0348652903080615,0.035343048221894324,181920000
1999-02-05,0.037850137799978256,0.0382086843305657,0.03641778270470974,0.03737237979167677,136848000
1999-02-08,0.03653696924448013,0.03820866182401844,0.03653696924448013,0.0380885349035237,154080000
1999-02-09,0.035103704780340195,0.03749157484620512,0.034625946981320536,0.03725315199521818,86976000
1999-02-10,0.03474607318639755,0.036059216201006716,0.03414910397448758,0.035103704039233886,148224000
1999-02-11,0.03773091733455658,0.039163272088630484,0.034865288896991725,0.034865288896991725,132240000
1999-02-12,0.03988037630915642,0.04011879583900962,0.038208682811385834,0.038208682811385834,109728000
1999-02-16,0.04011879488825798,0.04226824632439577,0.03605923046976305,0.04059655286624167,211008000
1999-02-17,0.03796933591365814,0.03964102903991296,0.03725315855366183,0.039163271156783704,67728000
1999-02-18,0.03856630250811577,0.039641026228540356,0.037491578787691174,0.039163268379294056,70704000
1999-02-19,0.03988037630915642,0.04059655382831541,0.03773092482208004,0.038208682811385834,75360000
1999-02-22,0.04011879488825798,0.04107431084422536,0.03796934345212019,0.04059655286624167,205248000
1999-02-23,0.042028892785310745,0.042865196970956906,0.03868642599828173,0.041074296101551507,138096000
1999-02-24,0.045372288674116135,0.05014894546474254,0.044297564808887566,0.04823791722636723,612768000
1999-02-25,0.043939925730228424,0.04871566612359209,0.04322282952779689,0.04728330816120249,149136000
1999-02-26,0.04190968722105026,0.045850038985165306,0.041552056334180326,0.044417684411270794,172608000
